,Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
1,FDW58,OUT049,1766.981389
2,FDW14,OUT017,1433.24763
3,NCN55,OUT010,611.7685189
4,FDQ58,OUT017,2591.005505
5,FDY38,OUT027,6221.924792
6,FDH56,OUT046,1933.463335
7,FDL48,OUT018,687.9074201
8,FDC48,OUT027,2139.82088
9,FDN33,OUT045,1509.270218
10,FDA36,OUT017,3132.400455
11,FDT44,OUT017,1969.863316
12,FDQ56,OUT045,1334.693019
13,NCC54,OUT019,656.0343562
14,FDU11,OUT049,2070.817293
15,DRL59,OUT013,815.1286655
16,FDM24,OUT049,2564.821234
17,FDI57,OUT045,3333.196626
18,DRC12,OUT018,2654.440393
19,NCM42,OUT027,2893.881
20,FDA46,OUT010,470.1647551
21,FDA31,OUT013,2841.37465
22,NCJ31,OUT035,4089.746968
23,FDG52,OUT046,741.9708861
24,NCL19,OUT019,345.7741756
25,FDS10,OUT035,3047.465365
26,FDX22,OUT010,580.7344088
27,NCF19,OUT035,790.9882077
28,NCE06,OUT046,2612.123643
29,DRC27,OUT046,3891.591729
30,FDE21,OUT035,1978.327225
31,NCR42,OUT019,66.91044252
32,FDX51,OUT018,2776.768942
33,NCR06,OUT018,572.6567772
34,FDU31,OUT027,5889.532739
35,FDU59,OUT017,2796.045797
36,FDR03,OUT027,5530.469225
37,FDS49,OUT027,2144.224242
38,FDD48,OUT010,259.4745306
39,NCF18,OUT017,3174.048255
40,NCD43,OUT027,2726.389017
41,NCD54,OUT018,1943.478366
42,FDY19,OUT010,267.7972101
43,NCY54,OUT017,2897.683463
44,NCL19,OUT018,1998.303673
45,FDP23,OUT010,609.9671593
46,FDC26,OUT013,1816.032237
47,FDR14,OUT010,101.754036
48,NCS41,OUT035,3136.265435
49,FDF41,OUT035,4145.842957
50,FDU34,OUT046,2000.84125
51,DRH11,OUT046,915.5523206
52,FDM03,OUT013,1703.807584
53,FDS31,OUT017,3085.010794
54,FDJ20,OUT017,2058.197486
55,FDV44,OUT027,5094.792433
56,FDG02,OUT049,3205.786305
57,FDA09,OUT013,2918.422447
58,FDT04,OUT013,586.7362677
59,FDL58,OUT019,752.0721867
60,FDE52,OUT045,1376.690919
61,FDW12,OUT035,2487.893351
62,FDL51,OUT017,3537.052208
63,NCY42,OUT027,3736.869915
64,FDR07,OUT017,1599.825724
65,FDN40,OUT045,2324.6328
66,FDB35,OUT027,2433.678464
67,FDA22,OUT017,2815.419963
68,NCL06,OUT046,4260.488227
69,FDI35,OUT013,2942.046759
70,NCW42,OUT045,3425.734278
71,NCX06,OUT049,2965.29666
72,FDC37,OUT027,2861.831104
73,FDZ14,OUT018,1672.765192
74,DRG49,OUT049,4135.121814
75,NCG06,OUT045,3983.177165
76,DRC36,OUT045,2744.103171
77,FDV21,OUT019,299.4041382
78,FDB53,OUT046,2340.271056
79,DRP47,OUT019,650.475272
80,FDA14,OUT013,2250.099508
81,DRC24,OUT035,2571.733686
82,FDW21,OUT018,1414.926646
83,NCH29,OUT046,1587.791932
84,FDU58,OUT013,3087.010138
85,FDY27,OUT017,2908.071653
86,FDV56,OUT035,1867.93532
87,FDT59,OUT046,3810.850763
88,FDB23,OUT046,3754.310159
89,FDR49,OUT045,723.3388171
90,FDB03,OUT010,556.8454828
91,FDN39,OUT045,2610.870303
