"","Item_Identifier","Outlet_Identifier","Item_Outlet_Sales"
"1","FDW58","OUT049",1699.21058600153
"2","FDW14","OUT017",1427.29493503966
"3","NCN55","OUT010",575.64155110806
"4","FDQ58","OUT017",2618.38677357904
"5","FDY38","OUT027",6190.7466287207
"6","FDH56","OUT046",1915.08690693909
"7","FDL48","OUT018",679.244932961107
"8","FDC48","OUT027",2097.33738534592
"9","FDN33","OUT045",1525.09962171709
"10","FDA36","OUT017",3156.56734956049
"11","FDT44","OUT017",1959.53629503521
"12","FDQ56","OUT045",1357.23823236376
"13","NCC54","OUT019",600.316993176756
"14","FDU11","OUT049",2036.38954085913
"15","DRL59","OUT013",831.107612777984
"16","FDM24","OUT049",2506.07135997498
"17","FDI57","OUT045",3368.89686824297
"18","DRC12","OUT018",2712.21545897256
"19","NCM42","OUT027",2905.34261806196
"20","FDA46","OUT010",471.715303574985
"21","FDA31","OUT013",2848.48533355653
"22","NCJ31","OUT035",3950.4145685228
"23","FDG52","OUT046",770.340294787631
"24","NCL19","OUT019",349.525400985541
"25","FDS10","OUT035",3040.53826009118
"26","FDX22","OUT010",478.674393215931
"27","NCF19","OUT035",788.055990389413
"28","NCE06","OUT046",2635.81863162124
"29","DRC27","OUT046",3996.14597573846
"30","FDE21","OUT035",1990.5072539253
"31","NCR42","OUT019",72.566703164378
"32","FDX51","OUT018",2715.43939082423
"33","NCR06","OUT018",425.798287794629
"34","FDU31","OUT027",5932.44159758741
"35","FDU59","OUT017",2705.74310800769
"36","FDR03","OUT027",5385.43347156637
"37","FDS49","OUT027",2250.26821025241
"38","FDD48","OUT010",265.547166392198
"39","NCF18","OUT017",3178.7942736282
"40","NCD43","OUT027",2678.0413962202
"41","NCD54","OUT018",1941.62703525769
"42","FDY19","OUT010",264.074586572595
"43","NCY54","OUT017",2874.52978132479
"44","NCL19","OUT018",1964.84352001231
"45","FDP23","OUT010",491.360151708727
"46","FDC26","OUT013",1808.96638563976
"47","FDR14","OUT010",145.409279698807
