"","Item_Identifier","Outlet_Identifier","Item_Outlet_Sales"
"1","FDW58","OUT049",1723.93807987702
"2","FDW14","OUT017",1395.61336916218
"3","NCN55","OUT010",583.736091412742
"4","FDQ58","OUT017",2477.87469823213
"5","FDY38","OUT027",6233.52416042781
"6","FDH56","OUT046",1872.37018072252
"7","FDL48","OUT018",800.791743458878
"8","FDC48","OUT027",2157.21505197861
"9","FDN33","OUT045",1530.24913217525
"10","FDA36","OUT017",2987.06057543428
"11","FDT44","OUT017",1891.50796445811
"12","FDQ56","OUT045",1364.78258176787
"13","NCC54","OUT019",580.514546629732
"14","FDU11","OUT049",1954.85092796311
"15","DRL59","OUT013",831.580975618755
"16","FDM24","OUT049",2423.5747930515
"17","FDI57","OUT045",3177.0063554804
"18","DRC12","OUT018",3072.19126800922
"19","NCM42","OUT027",2919.19372149733
"20","FDA46","OUT010",467.738747922438
"21","FDA31","OUT013",2797.11479538816
"22","NCJ31","OUT035",3834.58277829362
"23","FDG52","OUT046",763.021231913912
"24","NCL19","OUT019",343.709515235457
"25","FDS10","OUT035",2888.59704571868
"26","FDX22","OUT010",505.839032317636
"27","NCF19","OUT035",760.83478727133
"28","NCE06","OUT046",2579.45167397387
"29","DRC27","OUT046",3910.6704125442
"30","FDE21","OUT035",1862.78051123751
"31","NCR42","OUT019",77.4841643582641
"32","FDX51","OUT018",3115.76672614912
"33","NCR06","OUT018",677.848984104535
"34","FDU31","OUT027",5794.9659426738
"35","FDU59","OUT017",2625.25513199078
"36","FDR03","OUT027",5458.23907379679
"37","FDS49","OUT027",2138.72445475936
"38","FDD48","OUT010",275.305654662973
"39","NCF18","OUT017",3071.09804568793
"40","NCD43","OUT027",2751.67125262032
"41","NCD54","OUT018",2291.58897537279
"42","FDY19","OUT010",281.653609418283
"43","NCY54","OUT017",2780.08034582629
"44","NCL19","OUT018",2315.05809315911
"45","FDP23","OUT010",524.488835641736
"46","FDC26","OUT013",1793.08598997694
"47","FDR14","OUT010",134.80602677747
"48","NCS41","OUT035",2929.017502598
"49","FDF41","OUT035",3966.06354004612
"50","FDU34","OUT046",1996.32305192929
